,공고명,회사명,직무,마감일,고용 형태,근무지,학력,기술 스택,링크
225,가상화 SW솔루션(VDI) 기술지원 엔지니어,소만사,"소프트웨어 엔지니어, 기술지원, 보안 엔지니어",2023-05-31,,서울 서울특별시 영등포구 영신로220 KnK 디지털타워 9층,,[],https://www.wanted.co.kr///wd/123170
226,AI Language Engineer,알지에이아이엔씨(RGA Inc.),"소프트웨어 엔지니어, 파이썬 개발자, 머신러닝 엔지니어",,,"서울 서울시 서초구 서초대로 396, 7층 (서초동, 강남빌딩)",,"['MATLAB', 'Linux', 'C / C++', 'C#', '로봇', '임베디드 소프트웨어', '로봇 프로그래밍', '제어 시스템 설계', 'ROS']",https://www.wanted.co.kr///wd/146226
227,AI Vision Engineer,알지에이아이엔씨(RGA Inc.),"소프트웨어 엔지니어, 파이썬 개발자, 머신러닝 엔지니어",,,"서울 서울시 서초구 서초대로 396, 7층 (서초동, 강남빌딩)",,"['MATLAB', 'Linux', 'C / C++', 'C#', '로봇', '임베디드 소프트웨어', '로봇 프로그래밍', '제어 시스템 설계', 'ROS']",https://www.wanted.co.kr///wd/132831
228,컴퓨테이셔널 디자이너,에디트콜렉티브,"소프트웨어 엔지니어, 파이썬 개발자, .NET 개발자",,,"서울 서울특별시 강남구 삼성로 507 2층 1호 에디트콜렉티브 (삼성동, JS타워)",,[],https://www.wanted.co.kr///wd/158799
229,서버담당자,뉴지스탁,"소프트웨어 엔지니어, 시스템,네트워크 관리자, 보안 엔지니어",,,"서울 영등포구 여의대로 108 파크원타워1, 520호",,"['Linux', 'SQL', 'Spring Framework']",https://www.wanted.co.kr///wd/54097
230,SW개발자,곰앤컴퍼니,"소프트웨어 엔지니어, C,C++ 개발자",,,서울 서울시 강남구 개포로 216 곰앤컴퍼니 빌딩,,"['Git', 'MySQL', 'Java', 'JavaScript', 'PHP', 'AWS', 'API', 'PostgreSQL', 'API 개발']",https://www.wanted.co.kr///wd/137817
231,CDN/이커머스 플랫폼 엔지니어 및 기술 컨설턴트,와인소프트,"소프트웨어 엔지니어, DevOps / 시스템 관리자, 기술지원",2023-06-30,,"서울 서울 성동구 성수일로4길 25, 1105호(성수동2가, 서울숲코오롱디지털타워)",,[],https://www.wanted.co.kr///wd/159346
232,RADAR 알고리즘/신호처리 엔지니어,모본,소프트웨어 엔지니어,,,서울 서울시 강남구 삼성동 140-28덕우빌딩 3층,,[],https://www.wanted.co.kr///wd/132157
233,임베디드 F/W 엔지니어 (RADAR system),모본,"소프트웨어 엔지니어, C,C++ 개발자, 임베디드 개발자",,,서울 서울시 강남구 삼성동 140-28덕우빌딩 3층,,[],https://www.wanted.co.kr///wd/132153
234,임베디드 F/W 개발 엔지니어 (영상인식-AI system),모본,"소프트웨어 엔지니어, C,C++ 개발자, 임베디드 개발자",,,서울 서울시 강남구 삼성동 140-28덕우빌딩 3층,,[],https://www.wanted.co.kr///wd/119069
235,[연구소/IVI] 리눅스 개발자 (Linux/QT),지냅스,"소프트웨어 엔지니어, C,C++ 개발자, 임베디드 개발자",,,"경기 경기도 성남시 분당구 성남대로 69, 로드랜드EZ타워 705호",,"['Git', 'Android', 'Linux', 'C / C++', 'Java', 'Kotlin', 'Jenkins', 'Android Studio']",https://www.wanted.co.kr///wd/119898
236,[연구소/IVI] 안드로이드 개발자 (Android Developer),지냅스,"소프트웨어 엔지니어, 자바 개발자, 안드로이드 개발자",,,"경기 경기도 성남시 분당구 성남대로 69, 로드랜드EZ타워 705호",,"['Git', 'Android', 'Linux', 'C / C++', 'Java', 'Kotlin', 'Jenkins', 'Android Studio']",https://www.wanted.co.kr///wd/118729
237,비디오 코덱 엔지니어,블루닷,"소프트웨어 엔지니어, 머신러닝 엔지니어, 영상,음성 엔지니어",,,서울 강남구 언주로 527 강남텔레피아빌딩 4층,,"['Git', 'Github', 'iOS', 'Python', 'AWS', 'Spring Framework']",https://www.wanted.co.kr///wd/143022
238,[신입] 딥러닝 알고리즘 엔지니어,블루닷,"소프트웨어 엔지니어, 머신러닝 엔지니어, 영상,음성 엔지니어",,,서울 강남구 언주로 527 강남텔레피아빌딩 4층,,"['Git', 'Github', 'iOS', 'Python', 'AWS', 'Spring Framework']",https://www.wanted.co.kr///wd/140752
239,"Software Engineer, Deep Learning",바비디 코리아,"소프트웨어 엔지니어, 머신러닝 엔지니어, 데이터 사이언티스트",,,서울 양재동 태봉로 114,,"['Github', 'Android', 'iOS', 'Linux', 'Pytorch', 'React', 'Tensorflow', 'JavaScript', 'Kotlin', 'Python', 'Swift', 'AWS', 'Docker', 'PostgreSQL']",https://www.wanted.co.kr///wd/75007
240,S/W 개발  연구원  (신입),바투잼,"소프트웨어 엔지니어, C,C++ 개발자",2023-05-31,,"대전 대전 유성구 테크노중앙로 72 (관평동, 대덕신대륙프라자)  902호",,"['C / C++', 'C#', 'Visual Studio', '연구 및 개발', 'WPF']",https://www.wanted.co.kr///wd/151277
241,메타버스 클라이언트 개발자,라이프페스타,"소프트웨어 엔지니어, C,C++ 개발자, 크로스플랫폼 앱 개발자",,,서울 서울특별시 강남구 선릉로 428 10층 120호 라이프페스타,,"['Github', 'Android', 'iOS', 'C / C++', 'Unity3D']",https://www.wanted.co.kr///wd/96393
242,기업부설연구소 FPGA Logic F/W 개발,에스디티,"소프트웨어 엔지니어, DevOps / 시스템 관리자, 임베디드 개발자",,,서울 서울 강남구 테헤란로44길 5 대아빌딩 10층,,[],https://www.wanted.co.kr///wd/142682
243,M-SDT 시스템/네트워크 엔지니어,에스디티,"소프트웨어 엔지니어, 프론트엔드 개발자, 시스템,네트워크 관리자",,,서울 서울 강남구 테헤란로44길 5 대아빌딩 10층,,[],https://www.wanted.co.kr///wd/117580
244,기업부설연구소 MCU  F/W 개발(신입),에스디티,"소프트웨어 엔지니어, 개발 매니저, 임베디드 개발자",,,서울 서울 강남구 테헤란로44길 5 대아빌딩 10층,,[],https://www.wanted.co.kr///wd/104280
245,엔지니어,아크데이타,소프트웨어 엔지니어,,,"서울 금천구 가산디지털1로 186, 제이플라츠 309호",,"['Git', 'Hadoop', 'Linux', 'MySQL', 'Oracle', 'C / C++', 'Python', 'SQL', '데이터베이스', 'UNIX', '복제', 'MSSQL']",https://www.wanted.co.kr///wd/154807
246,소프트웨어 엔지니어(ERP시스템),클러스터지원그룹,"소프트웨어 엔지니어, ERP전문가",,,"서울 경기도 군포시 공단로 149, 408호(당동, 아이밸리군포)",,"['Git', 'Android', 'MySQL', 'React', 'ASP', 'C#', 'HTML', 'Java', 'JavaScript', 'Node.js', 'Python', 'Visual Basic', 'jQuery', 'PowerBuilder', 'MSSQL']",https://www.wanted.co.kr///wd/99816
247,[신입] 자율주행 SW 개발자,에이스랩,"소프트웨어 엔지니어, DevOps / 시스템 관리자",,,서울 서울특별시 강남구 언주로81길 13,,"['Git', 'Linux', 'C / C++', 'JavaScript', 'Python', 'Docker']",https://www.wanted.co.kr///wd/157181
248,Software Engineer (Application 개발),밀리만코리아(Milliman),"소프트웨어 엔지니어, 프론트엔드 개발자, Node.js 개발자",,,서울 중구 세종대로 136 서울파이낸스센터 22층,,"['Git', 'Github', 'TypeScript', 'Jenkins', 'React.js']",https://www.wanted.co.kr///wd/64743
249,소프트웨어 스택 개발 (신입),그리드위즈,"소프트웨어 엔지니어, C,C++ 개발자, 임베디드 개발자",,,"경기 경기도 성남시 수정구 대왕판교로 907, 그리드위즈 블루동",,"['Linux', '보안', 'C', '소프트웨어 개발', '자동차', 'C++', '통신', 'FMEA', '성능 측정', 'RTOS', '보안 관리', 'Embedded Linux', '보안 감사']",https://www.wanted.co.kr///wd/145543
250,CSMS(Cyber Security Management System) 구축,그리드위즈,"소프트웨어 엔지니어, 데이터 엔지니어, 보안 엔지니어",,,"경기 경기도 성남시 수정구 대왕판교로 907, 그리드위즈 블루동",,"['Linux', '보안', 'C', '소프트웨어 개발', '자동차', 'C++', '통신', 'FMEA', '성능 측정', 'RTOS', '보안 관리', 'Embedded Linux', '보안 감사']",https://www.wanted.co.kr///wd/145396
251,데이터솔루션엔지니어링 수행 팀원_신입,넷스루,"소프트웨어 엔지니어, 데이터 엔지니어",,,"서울 성동구 광나루로8길 31, 성수SKV1센터 2동 7층",,"['Linux', 'Python']",https://www.wanted.co.kr///wd/153966
252,UNIGINE,큐이디(QED),"소프트웨어 엔지니어, C,C++ 개발자, DevOps / 시스템 관리자",,,"서울 서울특별시 서초구 반포대로306, 2층",,"['BitBucket', 'Confluence', 'Git', 'Slack', 'Android', 'ExpressJS', 'iOS', 'MongoDB', 'MySQL', 'Redis', 'VueJS', 'C#', 'JavaScript', 'Kotlin', 'Python', 'SQL', 'Swift', 'TypeScript', 'C', 'AWS', 'CRM', 'HTML5', 'CSS3', 'NodeJS', 'Spring Framework', 'Rx', 'React.js', 'React Native']",https://www.wanted.co.kr///wd/117433
253,Cloud Native 엔지니어,아콘소프트,"소프트웨어 엔지니어, DevOps / 시스템 관리자, 시스템,네트워크 관리자",,,"서울 서울특별시 강남구 테헤란로8길 41, 3층",,"['Git', 'Linux', 'Docker', 'Spring Framework', 'Golang', 'Kubernetes']",https://www.wanted.co.kr///wd/151711
254,Application S/W 개발,인텔리안테크놀로지스,"소프트웨어 엔지니어, C,C++ 개발자",,,"경기 경기 성남시 분당구 판교로 344, 아이디스타워 5층",,"['Linux', 'C', 'C++', 'REST', 'PMP', 'Shell Scripting', 'JsonAPI']",https://www.wanted.co.kr///wd/131193
255,Software Engineer (자율주행),포티투닷(42dot),"소프트웨어 엔지니어, C,C++ 개발자, 머신러닝 엔지니어",,,경기 용인시 기흥구 마북동,,[],https://www.wanted.co.kr///wd/130405
256,응용SW 개발,비솔,"소프트웨어 엔지니어, C,C++ 개발자",,,"경기 경기도 광명시 안양천로502번길 15, 601호 (철산동, 광명테크노타운)",,"['Linux', 'C', 'C++']",https://www.wanted.co.kr///wd/114976
257,[1500억↑투자] Data Acquisition Engineer,트릿지,"소프트웨어 엔지니어, 데이터 엔지니어, QA,테스트 엔지니어",2023-06-06,,서울 서울특별시 서초구 방배로 226,,"['Python', 'SQL', 'Google Analytics']",https://www.wanted.co.kr///wd/96149
258,R&D 전문연구요원(병역특례),인터마인즈,"소프트웨어 엔지니어, 개발 매니저, 빅데이터 엔지니어",,,"경기 경기도 성남시 분당구 대왕판교로 644번길 21, 메디포스트 3층",,[],https://www.wanted.co.kr///wd/158195
259,Application Developer (ECAD),알테어엔지니어링,"소프트웨어 엔지니어, C,C++ 개발자",,,"경기 경기도 성남시 분당구 황새울로 216, 6층 알테어",,[],https://www.wanted.co.kr///wd/119969
260,R&D Vision Deep Learning Engineer,인터마인즈,"소프트웨어 엔지니어, 개발 매니저, 빅데이터 엔지니어",2023-06-30,,"경기 경기도 성남시 분당구 대왕판교로 644번길 21, 메디포스트 3층",,[],https://www.wanted.co.kr///wd/75898
261,서비스 개발자,아토리서치,"소프트웨어 엔지니어, 자바 개발자, 데이터 엔지니어",,,서울 서울특별시 서초구 강남대로 275 강남 MAIN TOWER 9층,,"['Linux', 'JavaScript', 'Python', 'Spring Framework']",https://www.wanted.co.kr///wd/157694
262,KIOSK 프로그램 개발자,포씨게이트,"소프트웨어 엔지니어, C,C++ 개발자, .NET 개발자",,,서울 서울특별시 영등포구 양산로43 우림이비즈센타1105.1106,,"['MySQL', 'Oracle', 'ASP .NET', 'HTML', 'Java', 'TCP', 'IP', 'JSP', 'WPF', 'MFC', 'RS232', 'MSSQL']",https://www.wanted.co.kr///wd/47056
263,응용 S/W 엔지니어,인터콘시스템스,소프트웨어 엔지니어,2023-05-31,,"경기 안양시 동안구 학의로 282 금강펜테리움IT타워 A동 1903호~1909호, 1912호",,"['C#', 'CSS', 'Delphi', 'HTML', 'JavaScript', 'Node.js', 'C++', 'UML', 'Restful API']",https://www.wanted.co.kr///wd/151414
264,임베디드 S/W 엔지니어,인터콘시스템스,소프트웨어 엔지니어,2023-05-31,,"경기 안양시 동안구 학의로 282 금강펜테리움IT타워 A동 1903호~1909호, 1912호",,"['C#', 'CSS', 'Delphi', 'HTML', 'JavaScript', 'Node.js', 'C++', 'UML', 'Restful API']",https://www.wanted.co.kr///wd/151412
265,치과용 3차원 모델 디자인 응용소프트웨어 개발자,알고리즘코리아,"소프트웨어 엔지니어, C,C++ 개발자, .NET 개발자",,,서울 서울특별시 금천구 서부샛길 606 대성디폴리스 A동 1502호,,[],https://www.wanted.co.kr///wd/141024
266,Junior IoT Developer,하이비,"소프트웨어 엔지니어, C,C++ 개발자, 임베디드 개발자",,,경기 경기 성남시 분당구 대왕판교로 660 유스페이스1 B동,,"['IoT', 'C', 'C++', 'API', 'API 개발']",https://www.wanted.co.kr///wd/109332
267,AI 컴파일러 엔지니어,에너자이(ENERZAi),"소프트웨어 엔지니어, 머신러닝 엔지니어, 임베디드 개발자",,,"서울 (06159) 서울특별시 강남구 테헤란로 431 6층 6006호(삼성동, 저스트코타워)",,"['Git', 'Github', 'Pytorch', 'Tensorflow', 'Python', '개발', 'C++', '최적화', 'Docker', '카메라', '컴파일러', 'CUDA', 'OpenCL', 'OpenMP', '라이브러리 관리']",https://www.wanted.co.kr///wd/110132
268,[100억↑투자] SW QA 엔지니어,다임리서치,"소프트웨어 엔지니어, QA,테스트 엔지니어",,,서울 서울 서초구 반포대로28길 20,,"['Confluence', 'Git', 'JIRA', 'AngularJS', '.NET', '.NET Core', 'Oracle', 'Pytorch', 'React', 'VueJS', 'Web Socket', 'OpenGL', 'Unreal Engine', 'WebGL', 'ASP .NET', 'C#', 'Java', 'JavaScript', 'Python', 'TypeScript', 'C++', 'PostgreSQL', 'Entity Framework', 'Spring Framework', 'ORM', 'JPA', 'SVG', 'Unity3D']",https://www.wanted.co.kr///wd/128794
269,보안컨설턴트 연구원,테르텐,"소프트웨어 엔지니어, 시스템,네트워크 관리자, 보안 엔지니어",,,"서울 서울시 구로구 디지털로26길 61, 602호(구로동,에이스하이엔드타워2차)",,"['Git', 'Linux', 'MySQL', 'Oracle', 'Java', 'JavaScript', 'C++', 'jQuery', 'Bootstrap', 'RDBMS', 'SVN', 'PostgreSQL', 'JSTL', 'MFC', 'JSP 개발']",https://www.wanted.co.kr///wd/122260
270,[100억↑투자] 차량용 RTOS BSP 개발 & AUTOSAR,비트센싱,"소프트웨어 엔지니어, 파이썬 개발자, 임베디드 개발자",2023-06-30,,"경기 성남시 수정구 고등로4 고산빌딩 4,5층",,"['C#', 'Python', 'C']",https://www.wanted.co.kr///wd/157345
271,임베디드 시스템 펌웨어 개발,어거스트랩,"소프트웨어 엔지니어, 임베디드 개발자, 하드웨어 엔지니어",,,서울 강남구 역삼로 160 강남취창업허브센터 5층 04호,,"['C / C++', 'Python', 'Flutter']",https://www.wanted.co.kr///wd/157709
272,IoT 임베디드 시스템 기반 AI 모델 개발,어거스트랩,"소프트웨어 엔지니어, 머신러닝 엔지니어, 임베디드 개발자",,,서울 강남구 역삼로 160 강남취창업허브센터 5층 04호,,"['C / C++', 'Python', 'Flutter']",https://www.wanted.co.kr///wd/157200
273,"C/C++, C# 소프트웨어(임베디드리눅스 개발자)",아르고스다인,"소프트웨어 엔지니어, C,C++ 개발자, 임베디드 개발자",,,"경기 용인시 기흥구 기흥로 58-1, A동 1306호(기흥ICT밸리 SKV1)",,"['C#', 'C++', 'Embedded Linux']",https://www.wanted.co.kr///wd/56616
274,Robotics Engineer(HW),비욘드허니컴,"소프트웨어 엔지니어, 하드웨어 엔지니어",,,"서울 서울시 용산구 용산동 2가 20, 보다서울 건물 2층 비욘드허니컴",,[],https://www.wanted.co.kr///wd/144432
275,PCD Engineer(HD Map팀),모라이(MORAI),소프트웨어 엔지니어,2023-10-31,,"서울 서울시 강남구 테헤란로 415, 404호",,"['Git', 'AWS', 'QA 엔지니어링']",https://www.wanted.co.kr///wd/151109
276,지도 데이터 및 GIS SW Engineer(HD Map팀),모라이(MORAI),소프트웨어 엔지니어,2023-10-31,,"서울 서울시 강남구 테헤란로 415, 404호",,"['Git', 'AWS', 'QA 엔지니어링']",https://www.wanted.co.kr///wd/151107
277,SW Engineer(Intelligent Agent팀),모라이(MORAI),소프트웨어 엔지니어,2023-10-31,,"서울 서울시 강남구 테헤란로 415, 404호",,"['Git', 'AWS', 'QA 엔지니어링']",https://www.wanted.co.kr///wd/151105
278,SW Engineer(Test Automation팀),모라이(MORAI),소프트웨어 엔지니어,2023-10-31,,"서울 서울시 강남구 테헤란로 415, 404호",,"['Git', 'AWS', 'QA 엔지니어링']",https://www.wanted.co.kr///wd/151099
279,영상처리/컴퓨터비전/딥러닝 기반 바이오인식 알고리즘 개발자,슈프리마아이디,"소프트웨어 엔지니어, C,C++ 개발자, 머신러닝 엔지니어",,,서울 서울시 송파구 송파대로 201,,"['Linux', 'TDD', 'Agile', 'C++', 'XP', 'Windows 8', 'STL']",https://www.wanted.co.kr///wd/114542
280,병역특례 전문연구요원 S/W 엔지니어,에티포스,소프트웨어 엔지니어,,,"경기 성남시 분당구 벌말로50번길 41, 투아이센터 4층 405호",,[],https://www.wanted.co.kr///wd/155689
281,영상처리 SW개발자 (전문연구요원),스카이오토넷,"소프트웨어 엔지니어, 머신러닝 엔지니어, 영상,음성 엔지니어",,,"서울 서울특별시 서초구  논현로 145 (수냐빌딩) 4층, 스카이오토넷 임베디드비전연구소",,[],https://www.wanted.co.kr///wd/138179
282,AI Research Engineer(전문연구요원 가능),시너지에이아이,"소프트웨어 엔지니어, 머신러닝 엔지니어, 데이터 엔지니어",,,"서울 강서구 양천로 424 데시앙플렉스 지식산업센터 501,502호",,[],https://www.wanted.co.kr///wd/140055
283,데이터공학팀 (주식/재무 DB 운용 개발자),에프앤가이드,"소프트웨어 엔지니어, 데이터 엔지니어, 기술지원",2023-05-31,,서울 서울특별시 강서구 마곡중앙2로 61,,['SQL'],https://www.wanted.co.kr///wd/151483
284,펌웨어(Firmware) 임베디드 개발자,디에이아이오,"소프트웨어 엔지니어, 임베디드 개발자, 하드웨어 엔지니어",,,"경기 경기도 성남시 분당구 성남대로69, 512호(로드랜드EZ타워 )",,[],https://www.wanted.co.kr///wd/160778
285,서비스 로봇 시스템 SW 개발자,클로봇,"소프트웨어 엔지니어, 개발 매니저",,,"경기 성남시 분당구 성남대로925번길 16, 7층 701호 (야탑동)",,"['Linux', 'IoT', 'C++', '통신', '로봇', 'ROS']",https://www.wanted.co.kr///wd/159558
286,[물류] 로봇 프로그램 개발자,클로봇,"소프트웨어 엔지니어, C,C++ 개발자",,,"경기 성남시 분당구 성남대로925번길 16, 7층 701호 (야탑동)",,"['Linux', 'IoT', 'C++', '통신', '로봇', 'ROS']",https://www.wanted.co.kr///wd/159405
287,Windows환경 Edge Computing개발,타키온테크,"소프트웨어 엔지니어, C,C++ 개발자, 임베디드 개발자",,,"서울 서울특별시 금천구 가산디지털2로 165, 백상스타타워 2차 1205호",,"['MongoDB', 'Windows Embedded', 'Delphi', 'HTTP', 'RESTful Architecture']",https://www.wanted.co.kr///wd/110393
288,AI 데이터 분석/모델 개발 및 관련 어플리케이션 개발,에프에이솔루션,"소프트웨어 엔지니어, 파이썬 개발자, 영상,음성 엔지니어",,,서울 서울특별시 영등포구 선유로3길,,"['Android', 'iOS', 'Linux', 'React', 'Java', 'JavaScript', 'Kotlin', 'Python', 'SQL', 'Spring Framework']",https://www.wanted.co.kr///wd/161204
289,[배달플랫폼실] Android 개발자,배달로나라를구하신,"소프트웨어 엔지니어, 자바 개발자, 안드로이드 개발자",,,경기 경기 고양시 덕양구 중앙로 643,,"['Android', 'React', 'Delphi', 'Java', 'Kotlin', 'SQL', 'AWS', 'NodeJS']",https://www.wanted.co.kr///wd/50277
290,데스크탑 앱 개발자,클레,"소프트웨어 엔지니어, C,C++ 개발자, .NET 개발자",,,"서울 서울시 성동구 왕십리로 58, 서울숲포휴 511호, 512호",,"['Slack', '품질 관리', '재고 관리', '생산 계획', '3D 모델링', '회로 설계', '회로 분석', '구매 관리', 'Notion']",https://www.wanted.co.kr///wd/134575
291,Software Quality Assurance (신입),네비웍스,"소프트웨어 엔지니어, 프로덕트 매니저, 하드웨어 엔지니어",,,경기 경기도 안양시 동안구 부림로170번길 41-18,,[],https://www.wanted.co.kr///wd/159080
292,S/W 엔지니어,실리콘아츠,소프트웨어 엔지니어,2023-05-31,,"서울 서울시 강남구 테헤란로33길 13-3, 9층",,"['Pytorch', 'Tensorflow', 'C / C++', 'Visual Studio', 'GPU', 'Visual Studio Code']",https://www.wanted.co.kr///wd/157835
293,c++ 개발자,와이시스,"소프트웨어 엔지니어, C,C++ 개발자, .NET 개발자",2023-06-09,,경기 평택시 고덕중앙로 290,,"['Git', 'Android', 'C / C++']",https://www.wanted.co.kr///wd/156669
294,연구개발팀 연구원,영원아이비에스,"소프트웨어 엔지니어, 하드웨어 엔지니어",,,경기 안양시 동안구 시민대로327번길 11-31 파낙스빌딩 602호,,[],https://www.wanted.co.kr///wd/146146
295,머신비전 알고리즘 개발자,더블유지에스,"소프트웨어 엔지니어, C,C++ 개발자",,,"경기 경기도 수원시 영통구 신원로 88, 디지털엠파이어2 102동 1304호",,"['BitBucket', 'Git', 'React', 'C / C++', '알고리즘 개발', '머신 비전', 'MFC', 'OpenCV']",https://www.wanted.co.kr///wd/142936
296,"Linux, Windows, VisualC·C++ 개발자",텔러스,"소프트웨어 엔지니어, C,C++ 개발자, 임베디드 개발자",,,경기 경기도 안양시 동안구 시민대로 248번길 25,,[],https://www.wanted.co.kr///wd/142776
297,개발자 (신입),플러스아이덴티티,소프트웨어 엔지니어,,,서울 서울특별시 강남구,,[],https://www.wanted.co.kr///wd/135592
298,SAP SRM(DECO) 시스템 운영 및 개발,대상정보기술,"소프트웨어 엔지니어, ERP전문가",,,"서울 서울시 광진구 천호대로 549, 8층, 9층",,[],https://www.wanted.co.kr///wd/133847
299,SAP PP / PM / QM 모듈 운영 및 개발,대상정보기술,"소프트웨어 엔지니어, ERP전문가",,,"서울 서울시 광진구 천호대로 549, 8층, 9층",,[],https://www.wanted.co.kr///wd/133846
300,SAP MM 모듈 운영 및 개발,대상정보기술,"소프트웨어 엔지니어, ERP전문가",,,"서울 서울시 광진구 천호대로 549, 8층, 9층",,[],https://www.wanted.co.kr///wd/133845
301,SAP FI / TR 모듈 운영 및 개발,대상정보기술,"소프트웨어 엔지니어, ERP전문가",,,"서울 서울시 광진구 천호대로 549, 8층, 9층",,[],https://www.wanted.co.kr///wd/133636
302,2차전지 검사장비 / 머신 비전 MFC C/C++ 프로그램 개발자,엔시스,"소프트웨어 엔지니어, C,C++ 개발자",,,충남 충남 천안시 서북구 직산읍 2공단 5로 117-10,,"['C', 'C++', 'MFC']",https://www.wanted.co.kr///wd/117228
303,연구개발 분야,앤이티,"소프트웨어 엔지니어, C,C++ 개발자",,,"경기 경기도 화성시 동탄지성로 316 B동 4층 (반월동, 폴라리온스퀘어)",,[],https://www.wanted.co.kr///wd/109963
304,Network SW Engineer,다산네트워크솔루션(DZS),"소프트웨어 엔지니어, C,C++ 개발자, 시스템,네트워크 관리자",,,"서울 경기도 성남시 대왕판교로 644번길 49, 9층",,"['Linux', 'Python', 'C', 'C++', 'SNMP', 'SSH', 'SPI', 'TCL', 'SONET', 'I2C', 'DWDM', 'RS232', 'OTN']",https://www.wanted.co.kr///wd/104729
305,블록체인 개발자,제트5,"소프트웨어 엔지니어, Node.js 개발자, 블록체인 플랫폼 엔지니어",,,서울 06237 서울 강남구 역삼로17길,,"['Git', 'Node.js']",https://www.wanted.co.kr///wd/104700
306,안드로이드(Android) 엔지니어,토기,"소프트웨어 엔지니어, 프론트엔드 개발자, 안드로이드 개발자",,,"서울 서울특별시 영등포구 여의대로 108, 파크원타워1 4층 419호",,[],https://www.wanted.co.kr///wd/94812
307,iOS 엔지니어,토기,"소프트웨어 엔지니어, 프론트엔드 개발자, iOS 개발자",,,"서울 서울특별시 영등포구 여의대로 108, 파크원타워1 4층 419호",,[],https://www.wanted.co.kr///wd/94810
308,"글로벌 영상협업 솔루션 엔지니어, 총판 엔지니어, 파트너사 기술교육 및 고객 지원",엘림넷,"소프트웨어 엔지니어, 시스템,네트워크 관리자, 기술지원",,,서울 서울시 금천구 가산디지털1로 205 KCC웰츠밸리 14층,,"['MySQL', 'JavaScript', 'PHP', 'jQuery', 'Jenkins', 'SVN']",https://www.wanted.co.kr///wd/93092
309,자율주행 Perception Engineer,에스티피씨,"소프트웨어 엔지니어, C,C++ 개발자, 파이썬 개발자",,,경기 성남시 분당구 성남대로69 로드랜드EZ타워,,"['Github', 'Linux', 'C / C++', 'Python', 'ROS']",https://www.wanted.co.kr///wd/75521
310,"앱 개발 (iOS, 안드로이드)",니어브레인,"프론트엔드 개발자, 안드로이드 개발자, iOS 개발자",,,서울 서울 마포구 백범로31길 21 서울창업허브,,"['Android', 'iOS', 'Java']",https://www.wanted.co.kr///wd/156051
311,시니어 프론트엔드 개발자 Senior Front-End Developer,스케치소프트,프론트엔드 개발자,,,"서울 서울시 강남구 역삼로 168, 팁스타운S6 3층 303호",,"['Github', 'MongoDB', 'WebGL', 'JavaScript', 'TypeScript', 'AWS', 'NodeJS']",https://www.wanted.co.kr///wd/80921
312,주니어 프론트엔드 개발자(신입 ~ 3년차),케이존,프론트엔드 개발자,,,서울 13449) 경기도 성남시 수정구 대왕판교로 815 판교제2테크노밸리 기업지원허브 혁신기술존 7층,,['React'],https://www.wanted.co.kr///wd/144341
313,풀스택 개발자,구름,"프론트엔드 개발자, Node.js 개발자, DevOps / 시스템 관리자",,,경기 성남시 분당구 판교로 242 PDC A동 9층,,"['Git', 'MongoDB', 'React', 'Redis', 'HTML', 'Java', 'JavaScript', 'Node.js', 'SQL', 'AWS', 'HTTP', 'jQuery', 'DevOps', 'ElasticSearch', 'NodeJS', '서버 관리', '서버 아키텍처']",https://www.wanted.co.kr///wd/98632
314,앱 개발 (React Native),키클롭스,"프론트엔드 개발자, 안드로이드 개발자, iOS 개발자",,,서울 서울 성동구 뚝섬로 317 반석빌딩 1~3층,,[],https://www.wanted.co.kr///wd/63223
315,프론트엔드 개발,디오비스튜디오,프론트엔드 개발자,,,"서울 마포구 동교로154, 2층",,"['Pytorch', 'Tensorflow', 'Python', 'Docker']",https://www.wanted.co.kr///wd/160531
316,APP 개발자(Flutter),리드넘버,"프론트엔드 개발자, 안드로이드 개발자, iOS 개발자",,,서울 서울특별시 관악구 남현동 1059-11 도원회관,,[],https://www.wanted.co.kr///wd/160456
317,프론트엔드 엔지니어,리드넘버,프론트엔드 개발자,,,서울 서울특별시 관악구 남현동 1059-11 도원회관,,[],https://www.wanted.co.kr///wd/133912
318,프론트엔드 개발자,아이오트러스트,프론트엔드 개발자,,,서울 서울특별시 강남구 선릉로 747,,"['VueJS', 'Node.js']",https://www.wanted.co.kr///wd/154256
319,병원용 SW 개발자 [웹 프론트],전능아이티,프론트엔드 개발자,,,"서울 서울시 서초구 효령로53길 21, 신성빌딩 2층",,"['.NET', 'MySQL', 'C#', 'Node.js', 'MSSQL']",https://www.wanted.co.kr///wd/143409
320,프론트 개발자 (시니어),오지스,프론트엔드 개발자,,,"서울 서울특별시 영등포구 여의도동 여의대로 108, 파크원",,[],https://www.wanted.co.kr///wd/131161
321,프론트엔드(flutter) 개발자,커넥트핏,"프론트엔드 개발자, 안드로이드 개발자, iOS 개발자",,,"서울 서울특별시 영등포구 의사당대로 83, wework 4F",,"['MySQL', 'Storage', 'Nginx', 'RabbitMQ', 'TeamCity', 'Golang']",https://www.wanted.co.kr///wd/100799
